Time generated,Source,Destination,Protocol,Port,Action,DeviceVendor,EventID,Team
18-10-2024 14:39:04,192.168.10.184,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,QA Team
19-05-2024 01:24:00,10.10.10.91,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
12-05-2024 08:00:49,192.168.10.156,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Testing Team
24-01-2025 19:44:07,172.16.10.99,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
27-04-2024 12:45:52,192.168.10.76,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,Developers Team
27-05-2024 19:15:57,192.168.10.187,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,QA Team
19-06-2024 06:01:31,192.168.10.93,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,Developers Team
09-06-2024 09:50:40,172.16.10.62,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
03-03-2024 16:33:47,192.168.10.88,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,Developers Team
14-07-2024 19:15:32,192.168.10.186,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
23-03-2024 01:43:17,10.10.11.149,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
31-01-2025 07:59:31,10.10.11.198,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
02-07-2024 02:46:44,10.10.11.189,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
13-03-2024 18:58:02,192.168.10.182,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
16-12-2024 10:00:03,172.16.10.81,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,PowerBI team
03-08-2024 07:44:55,192.168.10.160,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,Testing Team
09-03-2024 15:53:05,10.10.10.175,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
05-12-2024 23:22:22,10.10.12.240,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
03-03-2024 17:21:48,192.168.10.77,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,Developers Team
07-02-2024 07:08:04,192.168.10.187,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,QA Team
20-06-2024 08:30:08,10.10.11.122,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
24-05-2024 16:55:05,192.168.10.190,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
21-04-2024 02:29:07,192.168.10.163,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,Testing Team
10-06-2024 08:57:13,192.168.10.176,10.100.11.12,TCP,80,Allowed,10.0.60.1,Access over HTTP,Testing Team
10-10-2024 12:09:54,10.10.11.160,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
19-08-2024 16:32:47,10.10.10.159,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
18-12-2024 22:04:49,172.16.10.73,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,PowerBI team
13-08-2024 04:52:58,10.10.12.86,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
30-03-2024 16:28:20,10.10.11.67,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
07-02-2024 16:18:43,10.10.10.138,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
02-10-2024 01:49:29,172.16.10.65,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,PowerBI team
24-05-2024 21:02:55,10.10.12.182,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
13-11-2024 05:48:54,10.10.12.72,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
29-08-2024 19:08:15,192.168.10.74,10.100.11.13,TCP,22,Allowed,10.0.60.1,Access over SFTP,Developers Team
02-05-2024 00:25:41,192.168.10.166,10.100.11.13,TCP,3389,Allowed,10.0.60.1,Access over RDP,Testing Team
04-03-2024 07:54:49,10.10.10.241,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
17-05-2024 21:20:48,192.168.10.100,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,Developers Team
20-04-2024 13:02:03,192.168.10.190,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,QA Team
01-11-2024 23:10:45,192.168.10.193,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
27-08-2024 03:34:58,10.10.11.120,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
18-07-2024 20:30:12,192.168.10.160,10.100.11.13,TCP,22,Allowed,10.0.60.1,Access over SFTP,Testing Team
28-10-2024 11:03:29,10.10.12.53,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
15-02-2024 23:56:33,192.168.10.175,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,Testing Team
12-10-2024 04:04:36,192.168.10.185,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
14-10-2024 21:47:31,192.168.10.82,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Developers Team
25-09-2024 18:34:21,172.16.10.55,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
14-03-2024 08:38:36,192.168.10.163,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,Testing Team
02-04-2024 10:23:20,172.16.10.55,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
27-10-2024 23:16:08,192.168.10.60,10.100.11.11,TCP,22,Allowed,10.0.60.1,Access over SFTP,Developers Team
07-03-2024 19:47:18,10.10.12.121,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
29-11-2024 06:05:28,192.168.10.59,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
25-05-2024 09:08:40,10.10.10.81,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
31-10-2024 10:32:29,10.10.12.149,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
22-08-2024 14:38:53,10.10.12.100,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
10-09-2024 23:19:23,10.10.12.225,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
20-01-2025 09:00:03,10.10.12.214,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
26-03-2024 10:17:53,10.10.10.114,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
21-01-2025 00:25:47,10.10.12.154,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
16-05-2024 06:12:33,192.168.10.161,10.100.11.13,TCP,80,Allowed,10.0.60.1,Access over HTTP,Testing Team
07-12-2024 06:29:07,10.10.10.61,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
13-07-2024 15:23:54,10.10.12.203,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
08-06-2024 09:36:09,10.10.11.187,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
28-07-2024 16:47:15,192.168.10.188,10.100.11.12,TCP,80,Allowed,10.0.60.1,Access over HTTP,QA Team
26-11-2024 02:18:27,10.10.10.146,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
22-10-2024 11:44:21,172.16.10.94,10.100.12.10,TCP,2383,Disallowed,10.0.60.1,Access over SSAS,PowerBI team
18-08-2024 01:13:28,192.168.10.192,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,QA Team
09-05-2024 00:04:05,10.10.11.233,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
21-01-2025 07:21:30,192.168.10.186,10.100.11.11,TCP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
07-11-2024 12:51:43,10.10.10.159,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
14-09-2024 18:45:31,10.10.10.178,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
30-07-2024 14:05:21,10.10.12.76,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
25-08-2024 09:33:57,192.168.10.185,10.100.11.11,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
24-01-2025 05:06:02,172.16.10.99,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
26-10-2024 23:00:12,192.168.10.181,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,QA Team
15-10-2024 23:13:24,10.10.11.238,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
26-09-2024 10:41:10,172.16.10.99,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
10-05-2024 20:33:54,172.16.10.64,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
16-03-2024 15:35:03,192.168.10.196,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
11-08-2024 18:37:56,10.10.10.101,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
04-10-2024 00:28:09,192.168.10.66,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,Developers Team
17-01-2025 19:54:37,10.10.11.146,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
24-07-2024 07:25:27,172.16.10.89,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,PowerBI team
13-10-2024 03:19:03,10.10.11.151,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
19-09-2024 19:32:19,192.168.10.53,10.100.11.12,TCP,80,Allowed,10.0.60.1,Access over HTTP,Developers Team
23-10-2024 02:10:32,192.168.10.185,10.100.11.12,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
10-09-2024 12:26:32,172.16.10.61,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,PowerBI team
19-04-2024 02:41:03,10.10.12.152,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
25-10-2024 23:45:53,192.168.10.88,10.100.11.13,TCP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
29-05-2024 22:41:21,10.10.10.107,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
01-01-2025 03:28:03,10.10.10.163,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
17-09-2024 19:04:58,10.10.12.251,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
01-02-2024 12:05:31,10.10.12.111,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
31-07-2024 12:18:15,172.16.10.89,10.100.12.10,TCP,2383,Allowed,10.0.60.1,Access over SSAS,PowerBI team
21-01-2025 03:20:52,192.168.10.196,10.100.11.12,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
30-08-2024 22:46:36,10.10.11.77,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
24-12-2024 01:39:54,172.16.10.85,10.100.12.10,TCP,2383,Allowed,10.0.60.1,Access over SSAS,PowerBI team
08-03-2024 23:02:26,10.10.12.176,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
25-09-2024 01:48:15,10.10.11.70,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
29-11-2024 11:01:54,192.168.10.153,10.100.11.13,TCP,22,Allowed,10.0.60.1,Access over SFTP,Testing Team
06-05-2024 07:47:26,192.168.10.52,10.100.12.10,TCP,3306,Allowed,10.0.60.1,Access over MYSQL,Developers Team
18-09-2024 12:48:18,192.168.10.193,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,QA Team
27-10-2024 20:29:34,10.10.12.65,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
08-04-2024 18:53:04,10.10.12.85,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
07-11-2024 17:35:38,192.168.10.197,10.100.11.13,TCP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
09-03-2024 16:31:58,10.10.11.230,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
14-05-2024 04:04:04,192.168.10.190,10.100.12.10,TCP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
25-06-2024 09:15:06,10.10.10.94,10.100.11.13,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team A
17-04-2024 23:22:16,172.16.10.67,10.100.12.10,TCP,1433,Allowed,10.0.60.1,Access over SQLSERVER,PowerBI team
18-12-2024 17:00:17,10.10.12.137,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team C
13-05-2024 01:04:54,10.10.11.82,10.100.11.11,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
08-12-2024 19:55:12,192.168.10.156,10.100.12.10,TCP,3389,Allowed,10.0.60.1,Access over RDP,Testing Team
17-02-2024 05:06:02,10.10.11.69,10.100.11.12,TCP,443,Allowed,10.0.60.1,Access over HTTPS,Team B
