Timegenerated,Source,Destination,Protocol,Port,Team,Action,DeviceVendor,EventID
10/15/2024 00:25:01,202.119.101.208,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-07-2024 09:42,202.143.150.26,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/13/2024 07:25:14,202.98.174.160,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12/13/2024 11:49:05,202.207.133.222,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-03-2024 06:26,202.126.149.51,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/20/2024 01:55:29,202.51.124.93,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/26/2024 03:46:01,202.57.136.43,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/16/2024 12:01:20,202.121.52.68,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/25/2024 14:19:37,202.228.106.34,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/14/2024 13:06:48,202.160.87.56,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01/23/2025 14:53:56,202.211.232.186,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09-07-2024 06:36,202.102.167.123,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/28/2024 04:56:48,202.218.57.107,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/17/2024 14:36:28,202.192.111.230,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-04-2024 04:39,202.149.23.105,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
03/28/2024 16:19:46,202.56.214.2,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-10-2024 00:11,202.229.180.8,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
06/22/2024 05:52:46,202.146.59.87,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/16/2024 18:45:02,202.85.61.17,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10-01-2024 22:11,202.49.77.226,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/16/2024 22:36:21,202.41.9.161,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
12-09-2024 04:48,202.173.124.17,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04/19/2024 14:18:15,202.133.47.27,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/26/2024 13:14:33,202.2.150.79,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/13/2024 19:38:30,202.202.93.76,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
07/15/2024 02:31:55,202.69.145.131,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/17/2024 05:53:04,202.215.184.187,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
04-07-2024 18:20,202.134.141.17,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/25/2024 17:39:28,202.182.82.249,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05-05-2024 13:27,202.25.107.13,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/22/2024 21:23:59,202.40.250.77,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11-08-2024 16:54,202.175.93.154,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02/22/2024 02:03:44,202.132.38.207,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
01/15/2025 03:18:00,202.157.100.230,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
11/15/2024 03:13:02,202.189.187.195,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/26/2024 07:19:52,202.137.32.45,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
10/26/2024 18:45:10,202.116.105.67,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
09/17/2024 03:48:33,202.35.162.187,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
05/19/2024 19:39:32,202.197.33.60,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
02-06-2024 10:28,202.137.127.46,10.100.11.12,TCP,443,External,Allowed,10.0.70.1,Access over HTTPS
