Time generated,Source,Destination,Protocol,Port,Action,DeviceVendor,EventID,Team
6/22/2024 22:45,192.168.10.80,10.10.11.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
8/21/2024 4:17,10.40.1.110,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
8/29/2024 16:45,192.168.10.73,10.10.12.11,SSAS,2383,Allowed,10.0.60.1,Access over SFTP,Developers Team
6/23/2024 0:05,192.168.10.202,10.10.10.10,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Support Team
1/24/2025 16:45,192.168.10.97,10.10.10.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,Developers Team
11/12/2024 22:18,10.40.1.206,10.10.12.11,MYSQL,3306,Allowed,10.0.60.1,Access over MYSQL,VPN Project Users
11/5/2024 15:03,192.168.10.183,10.10.11.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,QA Team
5/17/2024 14:01,10.40.1.236,10.10.12.10,SSAS,2383,Allowed,10.0.60.1,Access over MYSQL,VPN Project Users
11/1/2024 3:43,192.168.10.57,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
9/2/2024 12:26,10.40.1.126,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,VPN Project Users
4/23/2024 12:21,10.40.1.73,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Development VPN Users
4/21/2024 6:46,192.168.10.65,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Developers Team
2/29/2024 3:08,10.40.1.175,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
4/19/2024 16:48,192.168.10.162,10.10.10.11,SFTP,22,Allowed,10.0.60.1,Access over RDP,Testing Team
3/21/2024 19:32,10.40.1.88,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Development VPN Users
10/1/2024 7:50,10.40.1.183,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
7/17/2024 10:35,192.168.10.249,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Support Team
7/10/2024 13:17,192.168.10.249,10.10.11.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,Support Team
10/21/2024 6:12,192.168.10.98,10.10.10.11,RDP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
4/17/2024 0:20,10.40.1.43,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,Development VPN Users
8/18/2024 18:48,192.168.10.161,10.10.11.11,SFTP,22,Allowed,10.0.60.1,Access over SFTP,Testing Team
11/10/2024 17:08,10.40.1.205,10.10.12.11,SSAS,2383,Allowed,10.0.60.1,Access over SSAS,VPN Project Users
9/13/2024 7:21,192.168.10.235,10.10.10.10,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Support Team
3/1/2024 18:19,192.168.10.81,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Developers Team
6/25/2024 8:13,192.168.10.192,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,QA Team
12/26/2024 4:39,10.40.1.236,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
2/11/2024 20:04,192.168.10.181,10.10.11.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
10/13/2024 2:28,10.40.1.95,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,Development VPN Users
2/14/2024 0:57,192.168.10.71,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
3/22/2024 20:41,192.168.10.165,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Testing Team
2/17/2024 2:36,10.40.1.170,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,VPN Project Users
10/26/2024 16:12,10.40.1.243,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
5/22/2024 22:11,192.168.10.80,10.10.12.11,RDP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
5/10/2024 11:42,10.40.1.113,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,VPN Project Users
4/4/2024 6:38,192.168.10.172,10.10.10.10,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Testing Team
12/5/2024 11:13,192.168.10.246,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Support Team
2/13/2024 21:40,192.168.10.187,10.10.12.11,MSSQL,1433,Allowed,10.0.60.1,Access over SFTP,QA Team
4/21/2024 20:48,10.40.1.23,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Development VPN Users
11/26/2024 11:09,192.168.10.96,10.10.10.10,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Developers Team
7/29/2024 9:20,10.40.1.49,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Development VPN Users
5/13/2024 19:06,192.168.10.184,10.10.10.10,HTTP,80,Allowed,10.0.60.1,Access over HTTP,QA Team
4/6/2024 0:51,192.168.10.200,10.10.11.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
9/19/2024 23:15,10.40.1.31,10.10.12.11,SFTP,22,Allowed,10.0.60.1,Access over RDP,Development VPN Users
9/28/2024 0:22,10.40.1.171,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,VPN Project Users
11/27/2024 3:12,10.40.1.199,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,VPN Project Users
8/13/2024 15:07,192.168.10.184,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
2/12/2024 10:28,10.40.1.41,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,Development VPN Users
3/1/2024 15:31,192.168.10.174,10.10.11.11,RDP,3389,Allowed,10.0.60.1,Access over SFTP,Testing Team
1/16/2025 9:03,192.168.10.71,10.10.10.11,RDP,3389,Allowed,10.0.60.1,Access over SFTP,Developers Team
7/26/2024 3:42,192.168.10.196,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,QA Team
1/5/2025 3:44,192.168.10.186,10.10.11.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,QA Team
3/10/2024 4:53,10.40.1.69,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Development VPN Users
10/31/2024 21:45,10.40.1.214,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,VPN Project Users
2/11/2024 23:31,10.40.1.205,10.10.12.11,SSAS,2383,Allowed,10.0.60.1,Access over MYSQL,VPN Project Users
11/4/2024 14:59,10.40.1.160,10.10.12.11,MYSQL,3306,Allowed,10.0.60.1,Access over SSAS,VPN Project Users
8/13/2024 18:19,10.40.1.235,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,VPN Project Users
12/21/2024 17:05,192.168.10.236,10.10.10.11,RDP,3389,Allowed,10.0.60.1,Access over SFTP,Support Team
7/18/2024 8:48,192.168.10.245,10.10.10.11,SFTP,22,Allowed,10.0.60.1,Access over RDP,Support Team
1/30/2025 17:34,192.168.10.247,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Support Team
11/30/2024 13:02,10.40.1.194,10.10.12.10,SSAS,2383,Allowed,10.0.60.1,Access over SSAS,VPN Project Users
5/10/2024 11:36,192.168.10.78,10.10.11.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Developers Team
2/18/2024 22:57,10.40.1.240,10.10.12.10,MYSQL,3306,Allowed,10.0.60.1,Access over MYSQL,VPN Project Users
7/6/2024 0:06,192.168.10.234,10.10.10.10,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Support Team
7/14/2024 7:56,10.40.1.191,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,VPN Project Users
4/25/2024 21:02,192.168.10.230,10.10.10.10,HTTP,80,Allowed,10.0.60.1,Access over HTTP,Support Team
7/3/2024 13:06,192.168.10.192,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,QA Team
5/30/2024 1:44,192.168.10.167,10.10.10.10,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Testing Team
7/16/2024 22:02,10.40.1.254,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,VPN Project Users
8/30/2024 15:34,192.168.10.190,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,QA Team
6/28/2024 17:29,10.40.1.143,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,VPN Project Users
8/19/2024 11:09,10.40.1.167,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,VPN Project Users
6/26/2024 14:00,10.40.1.78,10.10.10.11,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Development VPN Users
5/2/2024 4:24,10.40.1.163,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,VPN Project Users
3/16/2024 4:23,10.40.1.118,10.10.12.10,MSSQL,1433,Allowed,10.0.60.1,Access over SQL,VPN Project Users
5/17/2024 5:06,192.168.10.185,10.10.10.11,HTTP,80,Allowed,10.0.60.1,Access over HTTP,QA Team
12/29/2024 14:56,10.40.1.141,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
10/31/2024 1:20,192.168.10.220,10.10.12.11,RDP,3389,Allowed,10.0.60.1,Access over MYSQL,Support Team
4/8/2024 6:07,10.40.1.188,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,VPN Project Users
5/21/2024 16:49,10.40.1.66,10.10.10.11,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Development VPN Users
8/25/2024 22:03,10.40.1.92,10.40.1.1,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Development VPN Users
9/6/2024 11:29,10.40.1.56,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,Development VPN Users
9/11/2024 14:54,10.40.1.162,10.10.12.10,SSAS,2383,Allowed,10.0.60.1,Access over SSAS,VPN Project Users
8/19/2024 13:25,10.40.1.211,10.30.10.10,RDP,3389,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
4/7/2024 3:26,10.40.1.141,10.30.10.10,SFTP,22,Allowed,10.0.60.1,Access over SFTP,VPN Project Users
11/25/2024 8:49,192.168.10.216,10.10.10.10,RDP,3389,Allowed,10.0.60.1,Access over RDP,Support Team
12/19/2024 3:37,10.10.12.76,10.10.10.10,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Team C
1/17/2025 7:25,192.168.10.86,10.10.10.10,SFTP,22,Allowed,10.0.60.1,Access over RDP,Developers Team
2/13/2024 13:36,10.40.1.86,10.10.10.11,HTTPS,443,Allowed,10.0.60.1,Access over HTTPS,Development VPN Users
