Time generated,Source,Destination,Protocol,Port,Action,DeviceVendor,EventID,Team
22-11-2024 17:18,112.94.242.141,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
26-11-2024 14:42,112.120.21.12,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
04-10-2024 20:27,112.42.90.241,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
25-08-2024 22:45,92.92.36.68,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
11-11-2024 16:07,202.254.117.100,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
03-02-2024 23:03,112.175.195.59,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
12-08-2024 03:21,112.94.118.16,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
16-10-2024 03:30,202.221.37.101,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
20-04-2024 09:50,92.51.200.134,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
08-07-2024 15:08,202.147.210.92,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
24-05-2024 19:12,202.103.95.206,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
07-10-2024 06:31,202.87.117.88,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
05-02-2024 03:18,92.110.119.255,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
11-03-2024 17:16,92.212.120.209,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
14-11-2024 18:44,92.201.110.53,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
02-07-2024 03:25,202.52.161.29,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
26-03-2024 05:39,112.33.236.190,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
23-02-2024 04:55,92.220.31.49,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
16-02-2024 16:53,202.118.252.107,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
12-08-2024 17:39,202.199.41.223,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
10-04-2024 09:59,202.223.74.143,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
18-03-2024 04:26,112.78.25.207,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
08-06-2024 10:05,112.237.130.137,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
30-12-2024 04:38,202.155.55.45,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
16-09-2024 23:27,202.68.224.175,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
23-05-2024 08:52,112.201.237.51,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
02-10-2024 20:40,112.154.221.96,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
01-03-2024 01:01,92.75.151.210,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
15-08-2024 00:12,92.95.101.152,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
14-11-2024 22:31,202.8.215.79,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
10-12-2024 19:34,92.21.60.163,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
08-11-2024 11:11,112.144.120.48,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
25-04-2024 07:52,112.82.152.196,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
15-07-2024 04:51,112.51.70.123,10.100.11.13,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
29-04-2024 16:22,92.204.142.46,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
05-04-2024 20:44,92.68.56.7,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
08-06-2024 01:15,202.243.50.128,10.100.11.11,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
02-01-2025 20:53,112.143.26.84,10.100.11.12,TCP,443,Allowed,10.0.70.1,Access over HTTPS,EXTERNAL
